hidden_units,epochs,.metric,.estimator,mean,n,std_err,.config,.iter
7,94,rmse,standard,0.07876143243152399,5,0.0013255578686381191,Preprocessor1_Model1,0
13,37,rmse,standard,0.08654157765285135,5,0.0010973208165315667,Preprocessor1_Model2,0
8,60,rmse,standard,0.07950172853658018,5,0.001067318457351155,Preprocessor1_Model3,0
10,21,rmse,standard,0.09177793056490721,5,0.0016337939176333054,Preprocessor1_Model4,0
12,74,rmse,standard,0.08044170107323606,5,0.001529961456152772,Preprocessor1_Model5,0
13,67,rmse,standard,0.08026229820303052,5,0.001333581336766358,Iter1,1
6,62,rmse,standard,0.08032676904856062,5,0.0012584796928222144,Iter2,2
14,51,rmse,standard,0.08221015849264153,5,8.286854349485062e-4,Iter3,3
5,60,rmse,standard,0.0806649270088832,5,0.001411144198913303,Iter4,4
15,74,rmse,standard,0.07937940902906974,5,0.0012149820904904828,Iter5,5
14,43,rmse,standard,0.08471747797968474,5,0.001509097223330542,Iter6,6
14,77,rmse,standard,0.07961284269460596,5,0.001237149599031972,Iter7,7
12,61,rmse,standard,0.08004065998928289,5,0.0012114048382157964,Iter8,8
11,75,rmse,standard,0.07930426455326327,5,0.0011079721897321146,Iter9,9
12,59,rmse,standard,0.08050544516138375,5,0.001108659098866183,Iter10,10
